stanin,jezyk_polski,matematyka,jezyk_angielski,jezyk_niemiecki
0,6,10,12,17
1,48,29,37,25
2,55,36,45,32
3,59,41,52,40
4,63,47,58,46
5,67,54,65,52
6,70,60,71,61
7,74,67,78,69
8,78,76,87,78
9,95,96,99,100
