stanin,jezyk_polski,matematyka,jezyk_angielski,jezyk_niemiecki
0,8,9,14,16
1,42,31,37,24
2,48,40,45,32
3,52,46,52,37
4,56,52,59,43
5,60,58,66,49
6,64,64,73,56
7,69,71,80,65
8,74,79,89,76
9,88,97,100,99
