Nazwa Jednostki,Regon,Dzial,Rozdzial,Grupa,Paragraf,P4,PL,ZA,WW,ZO
Szkoła Podstawowa Nr 9,1070630,801,80107,1400,411,0,52700,47693.41,43348.91,8395.23
Szkoła Podstawowa Nr 9,1070630,801,80107,1400,412,0,8000,5001.02,4534.11,890.41
Szkoła Podstawowa Nr 9,1070630,801,80107,1100,444,0,17252,17251.11,17251.11,0
Szkoła Podstawowa Nr 9,1070630,801,80107,1400,471,0,1500,0,0,0
Szkoła Podstawowa Nr 9,1070630,801,80107,1400,479,0,286498,279626.18,276276.57,3349.61
Szkoła Podstawowa Nr 9,1070630,801,80107,1400,480,0,19500,19431.58,19431.58,23688.5
Szkoła Podstawowa Nr 9,1070630,801,80146,1100,430,0,10087,6199.2,6199.2,0
Szkoła Podstawowa Nr 9,1070630,801,80146,1100,470,0,16813,16741,16741,0
Szkoła Podstawowa Nr 9,1070630,801,80148,1300,302,0,1100,1057.37,1057.37,0
Szkoła Podstawowa Nr 9,1070630,801,80148,1400,401,0,329460,324336.82,322012.13,2324.69
Szkoła Podstawowa Nr 9,1070630,801,80148,1400,404,0,21500,21456.7,21456.7,25089.81
Szkoła Podstawowa Nr 9,1070630,801,80148,1400,411,0,63100,61557.42,56530.23,9317.56
Szkoła Podstawowa Nr 9,1070630,801,80148,1400,412,0,8300,4882.53,4552.81,660.47
Szkoła Podstawowa Nr 9,1070630,801,80148,1100,422,0,563000,546715.5,546715.5,0
Szkoła Podstawowa Nr 9,1070630,801,80148,1100,428,0,700,210,210,0
Szkoła Podstawowa Nr 9,1070630,801,80148,1100,444,0,12190,12189.57,12189.57,0
Szkoła Podstawowa Nr 9,1070630,801,80148,1400,471,0,1000,0,0,0
Szkoła Podstawowa Nr 9,1070630,801,80150,1400,411,0,96500,96304.68,96304.68,7651.27
Szkoła Podstawowa Nr 9,1070630,801,80150,1400,412,0,14500,13771.26,13771.26,1096.24
Szkoła Podstawowa Nr 9,1070630,801,80150,1100,421,0,8000,7795.63,7795.63,0
Szkoła Podstawowa Nr 9,1070630,801,80150,1100,424,0,4000,3974.44,3974.44,0
Szkoła Podstawowa Nr 9,1070630,801,80150,1400,479,0,529100,527865.97,527865.97,0
Szkoła Podstawowa Nr 9,1070630,801,80150,1400,480,0,34500,34498.06,34498.06,44744.33
Szkoła Podstawowa Nr 9,1070630,801,80150,1600,606,0,10000,10000,10000,0
Szkoła Podstawowa Nr 9,1070630,801,80153,1100,424,0,56768.58,56768.58,56768.58,0
Szkoła Podstawowa Nr 9,1070630,854,85416,1300,324,0,28520,28520,28520,0
Szkoła Podstawowa Nr 9,1070630,926,92601,1300,302,0,2100,597.08,597.08,0
Szkoła Podstawowa Nr 9,1070630,926,92601,1400,401,0,251835,235919.1,234569.67,1349.43
Szkoła Podstawowa Nr 9,1070630,926,92601,1400,404,0,14900,14866.34,14866.34,18877.56
Szkoła Podstawowa Nr 9,1070630,926,92601,1400,411,0,47800,43003.13,41069.35,5161.83
Szkoła Podstawowa Nr 9,1070630,926,92601,1400,412,0,6800,6207.88,5790.71,879.66
Szkoła Podstawowa Nr 9,1070630,926,92601,1100,421,0,7639,2788.3,2788.3,0
Szkoła Podstawowa Nr 9,1070630,926,92601,1100,426,0,696000,661720.19,577308.78,84411.41
Szkoła Podstawowa Nr 9,1070630,926,92601,1100,430,0,6000,3671.51,2527.79,1143.72
Szkoła Podstawowa Nr 9,1070630,926,92601,1100,444,0,8315,8314.85,8314.85,0
Szkoła Podstawowa Nr 9,1070630,926,92601,1400,471,0,1000,0,0,0
Szkoła Podstawowa Nr 2,368245067,801,80101,1300,302,0,11900,10847.83,10847.83,0
Szkoła Podstawowa Nr 2,368245067,801,80101,1400,401,0,639800,621507.31,621507.31,0
Szkoła Podstawowa Nr 2,368245067,801,80101,1400,404,0,47078,47077.32,47077.32,51911.9
Szkoła Podstawowa Nr 2,368245067,801,80101,1400,411,0,454283,438156.6,438156.6,32914.63
Szkoła Podstawowa Nr 2,368245067,801,80101,1400,412,0,54763,48029.25,48029.25,3131.59
Szkoła Podstawowa Nr 2,368245067,801,80101,1400,417,0,5200,0,0,0
Szkoła Podstawowa Nr 2,368245067,801,80101,1100,421,0,106010,74213.99,74213.99,0
Szkoła Podstawowa Nr 2,368245067,801,80101,1100,424,0,9150,9146.94,9146.94,0
Szkoła Podstawowa Nr 2,368245067,801,80101,1100,426,0,241000,228010.58,228010.58,0
Szkoła Podstawowa Nr 2,368245067,801,80101,1100,427,0,15600,14753.73,14753.73,0
Szkoła Podstawowa Nr 2,368245067,801,80101,1100,428,0,5000,4260,4260,0
Szkoła Podstawowa Nr 2,368245067,801,80101,1100,430,0,73237,71021.49,71021.49,0
Szkoła Podstawowa Nr 2,368245067,801,80101,1100,436,0,6800,5262.43,5262.43,0
Szkoła Podstawowa Nr 2,368245067,801,80101,1100,441,0,1160,82.6,82.6,0
Szkoła Podstawowa Nr 2,368245067,801,80101,1100,444,0,178629,172137.97,172137.97,0
Szkoła Podstawowa Nr 2,368245067,801,80101,1100,448,0,316,0,0,0
Szkoła Podstawowa Nr 2,368245067,801,80101,1100,453,0,500,0,0,0
Szkoła Podstawowa Nr 2,368245067,801,80101,1100,470,0,3187,1105,1105,0
Szkoła Podstawowa Nr 2,368245067,801,80101,1400,471,0,3000,2520.57,2520.57,241.77
Szkoła Podstawowa Nr 2,368245067,801,80101,1400,479,0,1827606,1742196.34,1742196.34,0
Szkoła Podstawowa Nr 2,368245067,801,80101,1400,480,0,130391,130390.69,130390.69,140570.84
Szkoła Podstawowa Nr 2,368245067,801,80101,1600,606,0,80100,80100,80100,0
Szkoła Podstawowa Nr 2,368245067,801,80107,1400,411,0,27500,24216.4,24216.4,1636.45
Szkoła Podstawowa Nr 2,368245067,801,80107,1400,412,0,3500,3102.9,3102.9,234.46
Szkoła Podstawowa Nr 2,368245067,801,80107,1100,444,0,6700,6699.46,6699.46,0
Szkoła Podstawowa Nr 2,368245067,801,80107,1400,471,0,1000,32.85,32.85,0
Szkoła Podstawowa Nr 2,368245067,801,80107,1400,479,0,123500,113868.44,113868.44,0
Szkoła Podstawowa Nr 2,368245067,801,80107,1400,480,0,10333,10332.13,10332.13,9569.93
Szkoła Podstawowa Nr 2,368245067,801,80146,1100,430,0,4269,1200,1200,0
Szkoła Podstawowa Nr 2,368245067,801,80146,1100,470,0,7116,7025.2,7025.2,0
Szkoła Podstawowa Nr 2,368245067,801,80148,1300,302,0,1900,1714.65,1714.65,0
Szkoła Podstawowa Nr 2,368245067,801,80148,1400,401,0,209900,202602.29,202602.29,0
Szkoła Podstawowa Nr 2,368245067,801,80148,1400,404,0,14450,14449.55,14449.55,15249.84
Szkoła Podstawowa Nr 2,368245067,801,80148,1400,411,0,40700,37585.56,37585.56,2607.74
Szkoła Podstawowa Nr 2,368245067,801,80148,1400,412,0,6300,4073.29,4073.29,284.82
Szkoła Podstawowa Nr 2,368245067,801,80148,1100,421,0,72181,72180.15,72180.15,0
Szkoła Podstawowa Nr 2,368245067,801,80148,1100,422,0,225000,181849.82,181849.82,0
Szkoła Podstawowa Nr 2,368245067,801,80148,1100,430,0,14400,14400,14400,0
Szkoła Podstawowa Nr 2,368245067,801,80148,1100,444,0,9147,9146.33,9146.33,0
Szkoła Podstawowa Nr 2,368245067,801,80148,1400,471,0,1000,0,0,0
