Nazwa Jednostki,Regon,Dzial,Rozdzial,Grupa,Paragraf,P4,PL,ZA,WW,ZO
Szkoła Podstawowa Nr 4,903305,801,80101,1100,428,0,1460,960,960,0
Szkoła Podstawowa Nr 4,903305,801,80101,1100,430,0,57802,55476.83,55476.83,0
Szkoła Podstawowa Nr 4,903305,801,80101,1100,436,0,4638,2811.3,2811.3,0
Szkoła Podstawowa Nr 4,903305,801,80101,1100,441,0,1254,564.6,564.6,0
Szkoła Podstawowa Nr 4,903305,801,80101,1100,444,0,150519,150518.06,150518.06,0
Szkoła Podstawowa Nr 4,903305,801,80101,1100,470,0,1604,872.1,872.1,0
Szkoła Podstawowa Nr 4,903305,801,80101,1400,471,0,12137,1128.6,1128.6,89.11
Szkoła Podstawowa Nr 4,903305,801,80101,1400,479,0,1613022,1520639.62,1483319.99,37319.63
Szkoła Podstawowa Nr 4,903305,801,80101,1400,480,0,122337,122336.97,122336.97,127485.96
Szkoła Podstawowa Nr 4,903305,801,80101,1600,605,0,0,0,0,0
Szkoła Podstawowa Nr 4,903305,801,80101,1600,606,0,72000,72000,72000,0
Szkoła Podstawowa Nr 4,903305,801,80107,1400,411,0,25013,23118.21,21047.87,3847.21
Szkoła Podstawowa Nr 4,903305,801,80107,1400,412,0,1330,595.06,563.55,75.7
Szkoła Podstawowa Nr 4,903305,801,80107,1100,444,0,7102,7101.43,7101.43,0
Szkoła Podstawowa Nr 4,903305,801,80107,1400,471,0,1277,646.5,646.5,50.63
Szkoła Podstawowa Nr 4,903305,801,80107,1400,479,0,140947,129893.9,126781.43,3112.47
Szkoła Podstawowa Nr 4,903305,801,80107,1400,480,0,9163,9162.18,9162.18,10391.1
Szkoła Podstawowa Nr 4,903305,801,80146,1100,430,0,3797,860,860,0
Szkoła Podstawowa Nr 4,903305,801,80146,1100,470,0,6328,6279,6279,0
Szkoła Podstawowa Nr 4,903305,801,80148,1300,302,0,617,96.36,96.36,0
Szkoła Podstawowa Nr 4,903305,801,80148,1400,401,0,137840,127731.49,125046.58,2684.91
Szkoła Podstawowa Nr 4,903305,801,80148,1400,404,0,10385,10384.49,10384.49,11229.83
Szkoła Podstawowa Nr 4,903305,801,80148,1400,411,0,26359,24817.21,22843.4,3894.11
Szkoła Podstawowa Nr 4,903305,801,80148,1400,412,0,3777,3555.62,3272.83,557.91
Szkoła Podstawowa Nr 4,903305,801,80148,1100,421,0,64000,64000,64000,0
Szkoła Podstawowa Nr 4,903305,801,80148,1100,422,0,75000,74987.27,74987.27,0
Szkoła Podstawowa Nr 4,903305,801,80148,1100,426,0,0,0,0,0
Szkoła Podstawowa Nr 4,903305,801,80148,1100,428,0,226,170,170,0
Szkoła Podstawowa Nr 4,903305,801,80148,1100,430,0,16000,16000,16000,0
Szkoła Podstawowa Nr 4,903305,801,80148,1100,444,0,4989,4988.91,4988.91,0
Szkoła Podstawowa Nr 4,903305,801,80148,1400,471,0,204,0,0,0
Szkoła Podstawowa Nr 4,903305,801,80150,1400,411,0,2500,2171.79,2171.79,0
Szkoła Podstawowa Nr 4,903305,801,80150,1400,412,0,500,311.2,311.2,0
Szkoła Podstawowa Nr 4,903305,801,80150,1400,479,0,15000,11324.87,11324.87,0
Szkoła Podstawowa Nr 4,903305,801,80153,1100,424,0,21675.06,21675.06,21675.06,0
Szkoła Podstawowa Nr 4,903305,854,85416,1300,324,0,1736,1736,1736,0
